ts,REFERENCE_PRICE,STRATEGY1,STRATEGY2,STRATEGY3
30:04.6,103.123282,103.233106,103.155176,103.300034
30:09.9,103.137083,103.216766,103.237113,103.325323
30:14.9,103.111976,103.220269,103.168531,103.233088
30:19.9,103.067059,103.231871,103.22861,103.231407
30:24.8,103.10311,103.224365,103.209271,103.311816
30:30.0,103.105856,103.227975,103.199554,103.238781
30:35.0,103.109962,103.211124,103.242345,103.240962
30:39.5,103.07204,103.170038,103.211317,
30:45.0,103.133766,103.211191,103.202267,103.242091
30:49.7,103.206462,,103.246248,103.240385
30:54.9,103.10742,103.229055,103.262489,103.255038
31:00.0,103.136039,103.181268,103.245913,103.250467
31:05.0,103.120279,103.24858,103.201059,103.262225
31:10.0,103.132155,103.245645,103.236567,103.147544
31:14.9,103.141702,103.166701,103.216461,103.283518
31:19.8,103.070042,103.23279,103.259001,103.139372
31:24.6,103.087576,103.229766,103.285303,103.231625
31:30.0,103.128312,103.247167,103.199917,103.250701
31:34.9,103.099619,103.246608,103.23436,103.25154
31:39.9,103.111991,103.249845,103.236498,103.258925
31:44.9,103.185217,103.22098,103.225297,103.246968
31:49.8,103.115458,103.27274,103.224212,103.242824
31:55.0,103.105484,103.207569,103.194756,103.243097
31:59.9,103.093516,103.200774,103.197915,
32:05.0,103.055264,103.209684,103.246596,103.210521
32:09.8,103.143571,103.252212,103.264971,103.244029
32:14.8,103.121589,103.233734,103.229672,103.262661
32:18.4,103.106637,103.263953,103.227962,103.256035
32:24.9,103.107225,103.231683,103.206106,103.220934
32:29.6,103.089342,103.261549,103.265617,103.191117
32:35.0,103.13501,103.313472,103.309997,103.266492
32:39.8,103.105476,103.21643,103.217943,103.207283
32:44.9,103.096175,103.262036,,103.242109
32:49.6,103.083489,103.199503,103.229966,103.193463
32:55.0,103.074042,103.242528,103.194092,103.257711
33:00.0,103.084007,103.243262,103.21298,103.2377
33:04.5,103.089481,103.252478,103.180183,103.234121
33:09.8,103.088984,103.231041,103.22436,103.142197
33:14.0,103.085921,103.219396,103.280455,103.196133
33:19.9,103.106619,103.181617,103.209473,103.22538
33:25.0,103.051114,103.251937,103.239983,103.286303
33:30.0,103.078281,103.227066,103.224004,103.233609
33:35.0,103.100184,103.234356,103.214093,103.279732
33:40.0,103.080424,103.217481,103.201228,103.232159
33:44.9,103.11016,103.174008,103.214919,103.185122
33:49.9,103.069672,103.255006,103.248059,103.09023
33:54.7,103.098342,103.245724,103.228539,103.165739
33:59.7,103.106953,103.186866,103.232445,103.233969
34:04.7,103.075911,103.222923,103.185774,103.278195
34:09.3,103.088737,103.209142,103.201273,103.271266
34:15.0,103.08498,103.232533,103.215315,103.215748
34:19.9,103.092086,103.225732,103.201221,103.230199
34:24.3,103.142091,103.239545,103.219886,103.226276
34:29.9,103.08782,103.250628,103.222468,103.190483
34:35.0,103.062121,103.195476,103.21831,103.201882
34:39.8,103.061206,103.236139,103.219993,103.203291
34:44.8,103.091299,103.234639,103.199559,103.213029
34:49.5,103.054337,103.222418,103.213049,103.233095
34:55.0,103.064691,103.237609,103.222298,103.216341
34:59.8,103.10462,103.223723,103.211462,103.227424
35:04.9,103.09263,103.260318,103.232986,103.229419
35:09.9,103.167046,103.222336,103.218725,103.202165
35:14.9,103.11343,103.256129,103.220042,103.257739
35:19.9,103.113635,103.175882,103.234542,103.233839
35:25.0,103.109947,103.262616,103.229276,103.274761
35:29.7,103.12498,103.232482,103.22226,103.23555
35:34.8,103.007381,103.234524,103.234568,103.255777
35:39.9,103.087478,103.233565,103.236981,103.279386
35:44.9,103.116961,103.280081,103.229269,103.254384
35:49.9,103.080322,103.29167,103.229404,103.235796
35:54.9,103.068797,103.233714,103.219857,103.252334
35:59.8,103.116703,103.27002,103.242709,103.23483
36:04.7,103.056511,103.220199,103.227857,103.246406
36:09.7,103.084774,103.233813,103.273546,103.242796
36:14.3,103.112949,103.238843,103.230017,103.200975
36:19.8,103.123574,103.219153,103.215175,103.260404
36:24.1,103.119635,103.225851,103.187168,103.225596
36:29.9,103.121958,103.231765,103.222476,103.267839
36:35.0,103.092935,103.198703,103.260911,103.23504
36:39.6,103.061396,103.346974,103.225931,103.243525
36:44.3,103.073992,103.252807,103.244524,103.271347
36:49.3,103.100496,103.20071,103.249031,103.232992
36:54.8,103.076804,103.248273,103.217439,103.225674
